name,address,city
21natarius,NƏRİMANOV.TƏBRİZ.105/35,Bakı
yanacag doldurma,BEYLƏQAN.BEYLƏQAN-KƏBİRLİ YOLU,Beyləqan
1 Saylı Natarius,SƏBAİL.R.BEHBUDOV 8,Bakı
SKY-100/4,NƏRİMANOV.MAYAKOVSKİ 10/3,Bakı
REPOSE TRAVEL,NƏRİMANOV.NAZIM HACIYEV 6A,Bakı
NET MARKET,ŞÜVƏLAN.SABİR.1160K,Bakı
PEASE,NƏRİMANOV.TƏBRİZ 106.AĞA NEYMƏTULLA,Bakı
THE TOY STORE,NƏRİMANOV.HEYDƏR ƏLİYEV PR.5.5A,Bakı
AZERCELL-EKSPRES,BƏRDƏ.İSMƏT QAYIBOV,Bərdə
29 SAYLI  NOTARİAT KONTORU,NƏSİMİ.R.BEHBUDOV 50,Bakı
ANTARİS,SƏBAİL.N.RƏFİBƏYLİ 16,Bakı
NET MARKET,NİZAMİ.M.ŞƏRİFLİ 2524,Bakı
BAKI SIĞORTA ASC,YASAMAL.A.M.ŞƏRİFZADƏ 315C,Bakı
BAKI SIĞORTA ASC,YASAMAL.A.M.ŞƏRİFZADƏ 315C,Bakı
XƏZƏR PALACE,LƏNKƏRAN.AŞAĞI NÜVƏDİ ŞTQ,Lənkəran
2 SAYLI NOTARİAT KONTORU,SƏBAİL.XANLAR 29,Bakı
11 SAYLI NOTARİAT KONTORU,BİNƏQƏDİ.S.S.AXUNDOV 36,Bakı
NET MARKET,BİNƏ.Ə.İSAZADƏ,Bakı
41 SAYLI NOTARİAT,NƏSİMİ.D.ƏLİYEVA 235A,Bakı
6 SAYLI NOTARİAT,XƏTAİ.XOCALI PR.24A,Bakı
3 SAYLI NOTARIAT,NƏRİMANOV.Ə.RƏCƏBLİ 5,Bakı
5 SAYLI NOTARİAT,YASAMAL.Ş.QURBANOV 15,Bakı
38 SAYLI NOTARİAT,NƏRİMANOV.M.K.ATATÜRK 4A,Bakı
9 SAYLI NOTARİAT,NƏRİMANOV.H.ƏLİYEV PR.72,Bakı
ELLE SHOES,METROPARK AVM,Bakı
ELLE SHOES,PARK BULVAR AVM,Bakı
CİNEMA PLUS,GƏNCLİK MALL AVM,Bakı
QAPI MAĞAZASI,NƏRİMANOV.XAN ŞUŞİNSKİ 54,Bakı
MOBİTEL,SƏBAİL.MEHDİ HÜSEYN 79,Bakı
QUSAR NOTARİAT KONTORU,QUSAR.ÇİNGİZ QURBANOV 14,Qusar
SEVİMLİ DAD,SƏBAİL.Ə.CAVAD. Y.İBRAHİMOV KƏSİŞMƏ,Bakı
46 SAYLI NOTARİUS,SƏBAİL.Z.ƏLİYEVA 23,Bakı
14 SAYLI NOTARİUS,NƏSİMİ.MOSKVA PR.58,Bakı
ORDUBAD SÜFRƏSİ,BİNƏQƏDİ.M.K.ATATÜRK 64,Bakı
15 SAYLI NOTARİUS,NİZAMİ.M.GƏNCƏVİ 9,Bakı
16 SAYLI NOTARİUS,BAKIXANOV.PARK 10,Bakı
7 SAYLI NOTARİUS,ŞÜVƏLAN.A.İLDIRIM 39,Bakı
24 SAYLI NOTARİUS,QARAÇUXUR.K.İSMAYILOV 1,Bakı
BOSCH,YASAMAL.Ş.MEHDİYEV 136-136A,Bakı
MEHMANXANA(TRAVEL İNN),SƏBAİL.XAQANİ 14-16,Bakı
26 SAYLI NOTARİUS,BAKI.TELNOV 18,Bakı
18 SAYLI NOTARİUS,XƏTAİ.SARAYEVO 11,Bakı
22 SAYLI NOTARİUS,NƏSİMİ.CAVADXAN 11,Bakı
COFFELEA,YASAMAL.B.BAĞIROVA 15,Bakı
ERA ELEKTRONIKS,RƏSULZADƏ ŞTQ.BİNƏQƏDİ ŞOS 195E,Bakı
PROF CARE,XƏTAİ.NOBEL PR.7,Bakı
NET MARKET,BİNƏ ŞTQ.VAQİF 82D,Bakı
SHINSHILA GEYİM MAĞAZASI,SƏDƏRƏK T/M.ZONA ELİT.BİNA 2,Bakı
MEGADENT,YASAMAL.ZAHİD XƏLİLOV 69,Bakı
8 SAYLI NOTARİUS,LÖKBATAN.28 MAY 1,Bakı
19 SAYLI NOTARİUS,BAKI.ARAZ 7,Bakı
19 SAYLI NOTARİUS,NƏRİMANOV.R.ŞIXƏLİYEV 2Q,Bakı
QARAJ-21,XƏTAİ.BABƏK PR.14B,Bakı
30 SAYLI NOTARİUS,NİZAMİ.QARA QARAYEV PR.56,Bakı
20 SAYLI NOTARİUS,BİLƏCƏRİ.R.İSMAYILOV BLOK A,Bakı
MARSHAL,NƏRİMANOV.Ə.ƏLİYEV 26,Bakı
ŞƏMS,NİZAMİ.Ə.HACIYEV 46,Bakı
ƏLİNCƏ İDMAN KLUBU,BAKI.MASAZIR QƏS.,Abşeron rayonu
NEW CITY OTEL,BAKI.MASAZIR QƏS.,Abşeron rayonu
BAĞÇALI OTEL,BAKI.MASAZIR QƏS.,Abşeron rayonu
43 SAYLI NOTARİUS,NƏSİMİ.20 YANVAR 3,Bakı
44 SAYLI NOTARİUS,BİNƏQƏDİ.Ə.NAXÇIVANİ 4B,Bakı
36 SAYLI NOTARİUS,XƏTAİ.ƏHMƏDLİ.M.HADİ 65,Bakı
SOLİTON,XƏTAİ.BABƏK PR.41A,Bakı
SOLİTON,ƏHMƏD RƏCƏBLİ 33,Bakı
SOLİTON,YASAMAL.M.HƏSƏNOV 31,Bakı
32 SAYLI NOTARİUS,BİNƏQƏDİ.MİR CƏLAL 33,Bakı
SANTEXNİKA MALLARI,BİNƏQƏDİ.ƏHMƏD RƏCƏBLİ 62A,Bakı
35 SAYLI NOTARİUS,HÖVSAN.İ.ƏHLİMANOV 10B,Bakı
39 SAYLI NOTARİUS,ZABRAT.KÜRDƏANI ŞOSSESİ 10,Bakı
İSTEHSALAT SAHƏSİ PENOPLAST,DƏRNƏGÜL.BÖYÜK ŞOR 1,Bakı
ALTUS TRAVEL,YASAMAL.M.NAXÇIVANİ 15,Bakı
LUXODOR,NƏSİMİ.VİDADİ 160,Bakı
48 SAYLI NOTARİUS,BİNƏQƏDİ.XIRDALAN ŞOSSESİ 4,Bakı
31 SAYLI NOTARİUS,BİNƏ.ƏLİ İSAZADƏ 2,Bakı
54 SAYLI NOTARİUS,NƏSİMİ.XAN ŞUŞİNSKİ 12,Bakı
Z-GLASS,MAQSUD ƏLİZADƏ 132,Bakı
40 SAYLI NOTARİUS,XƏTAİ.XUDU MƏMMƏDOV 6,Bakı
45 SAYLI NOTARİUS,SAHİL.ZAHİD QASIMOV PR.41,Bakı
NET MMC,ZABRAT.YENİ MƏHƏLLƏ 2133,Bakı
10 SAYLI NOTARİUS,ƏMİRCAN.M.MUSTAFAYEV 7,Bakı
28 SAYLI NOTARİUS,BADAMDAR.MİKAYIL MÜŞFİQ 2A,Bakı
37 SAYLI NOTARİUS,YENİ GÜNƏŞLİ.AB.117A,Bakı
COFFELEA,SƏBAİL.XƏQANİ 41,Bakı
OİL,LƏNKƏRAN.DİGAH,Masallı
42 SAYLI NOTARİUS,TALIBLI-BÜNYADZADƏ KƏSİŞMƏ,Bakı
BELLONA  MEBEL SALONU,KEŞLƏ.BABƏK PR.2224,Bakı
KARONA  MEBEL SALONU,H.ƏLİYEV.C.HACIBƏYLİ KƏSİŞMƏ,Bakı
İSTİQBAL MEBEL SALONU,BAKIXANOV.BƏŞİR BÜNYADOV 1B,Bakı
27 SAYLI NOTARİUS,BİNƏQƏDİ.DAVUDOĞLU 1,Bakı
23 SAYLI NOTARİUS,YASAMAL.Ş.MEHDİYEV 136/90,Bakı
BİOLOJİ TƏBABƏT KLİNİKASI,NƏSİMİ.CAVADXAN 24,Bakı
İSTİQBAL MEBEL SALONU,BİNƏQƏDİ.CƏFƏR XƏNDAN 3066,Bakı
ZAKİROĞLU İNŞAAT,BİNƏQƏDİ.ZİYA BÜNYADOV 3105,Bakı
RUUKKİ İNŞAAT,BİNƏQƏDİ.22Cİ DAĞLIQ.19 SAYLI YDM,Bakı
ESTETİK KLİNİKA,YASAMAL.İ.QUTQAŞINLI 2A,Bakı
OREL İNŞAAT FIRAT BORU,NƏRİMANOV.AŞIQ MOLLA CÜMƏ 32,Bakı
OREL İNŞAAT FIRAT BORU,NƏRİMANOV.ƏHMƏD RƏCƏBLİ 1968,Bakı
